DATE,GDP
1/1/2000,10252.3465
1/1/2001,10581.82225
1/1/2002,10936.41825
1/1/2003,11458.24575
1/1/2004,12213.73025
1/1/2005,13036.637
1/1/2006,13814.609
1/1/2007,14451.859
1/1/2008,14712.845
1/1/2009,14448.9325
1/1/2010,14992.052
1/1/2011,15542.58175
1/1/2012,16197.00725
1/1/2013,16784.8505
1/1/2014,17521.747
1/1/2015,18219.2965
1/1/2016,18707.18875
1/1/2017,19485.394
1/1/2018,20500.6355
